                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58207,                 2.0571,                 1.0857,                0.66553,                0.37777,                0.39286,                  0.363,                0.36474,                 1.0274,                 0.9198,              0.0033325,              0.0033325,              0.0033325
                      2,                0.61177,                 1.3841,                  1.084,                0.60863,                0.42725,                0.39446,                0.35536,                0.39654,                 1.0515,                0.94213,              0.0066592,              0.0066592,              0.0066592
                      3,                0.68336,                  1.548,                 1.1122,                0.58399,                 0.4257,                0.40352,                0.37199,                0.37198,                 1.0059,                0.91126,              0.0099793,              0.0099793,              0.0099793
                      4,                0.66368,                 1.4696,                  1.084,                0.61247,                0.46013,                0.45803,                0.42855,                0.34397,                0.87558,                0.88409,              0.0099703,              0.0099703,              0.0099703
                      5,                0.62189,                 1.3224,                 1.0573,                 0.5942,                0.50969,                0.49664,                0.46614,                0.32571,                0.81114,                 0.8704,              0.0099703,              0.0099703,              0.0099703
                      6,                0.59604,                 1.2322,                 1.0411,                0.64778,                0.51208,                0.51762,                0.48716,                0.31889,                0.75882,                0.86668,              0.0099604,              0.0099604,              0.0099604
                      7,                0.58349,                 1.1783,                 1.0345,                0.62536,                  0.543,                0.53616,                 0.5071,                0.31258,                0.71976,                0.86147,              0.0099505,              0.0099505,              0.0099505
                      8,                0.57217,                 1.1426,                 1.0291,                0.62985,                0.54548,                0.55029,                0.52051,                0.30884,                0.69766,                0.85925,              0.0099406,              0.0099406,              0.0099406
                      9,                0.56791,                 1.1152,                 1.0258,                0.61784,                0.56292,                0.56403,                0.53355,                0.30497,                  0.681,                0.85623,              0.0099307,              0.0099307,              0.0099307
                     10,                0.55993,                 1.0871,                 1.0213,                0.62101,                0.57292,                0.57015,                0.53913,                 0.3029,                 0.6703,                0.85493,              0.0099208,              0.0099208,              0.0099208
                     11,                0.55504,                 1.0662,                 1.0175,                0.63948,                0.55512,                0.58085,                 0.5501,                0.30157,                0.66068,                0.85454,              0.0099109,              0.0099109,              0.0099109
                     12,                0.55332,                 1.0498,                 1.0158,                0.65838,                 0.5501,                0.58457,                0.55431,                0.30053,                0.65368,                 0.8541,               0.009901,               0.009901,               0.009901
                     13,                0.54982,                 1.0366,                 1.0152,                 0.6639,                 0.5525,                0.58958,                0.55919,                 0.2999,                0.64858,                0.85387,              0.0098911,              0.0098911,              0.0098911
                     14,                0.54751,                 1.0322,                 1.0138,                0.65587,                0.57417,                0.59875,                 0.5672,                0.29937,                0.64314,                0.85355,              0.0098812,              0.0098812,              0.0098812
                     15,                0.54449,                 1.0204,                  1.012,                0.64774,                0.57979,                0.60029,                0.56873,                0.29852,                0.63788,                 0.8527,              0.0098713,              0.0098713,              0.0098713
                     16,                 0.5437,                 1.0088,                 1.0118,                0.65569,                0.57749,                0.60379,                0.57238,                0.29747,                0.63311,                0.85171,              0.0098614,              0.0098614,              0.0098614
                     17,                0.54322,                 1.0021,                 1.0122,                0.64972,                0.58506,                0.60537,                0.57372,                0.29675,                0.62851,                 0.8512,              0.0098515,              0.0098515,              0.0098515
                     18,                0.54103,                0.98936,                 1.0104,                0.65808,                  0.583,                0.60875,                0.57703,                0.29665,                0.62468,                0.85133,              0.0098416,              0.0098416,              0.0098416
                     19,                0.53948,                0.98604,                 1.0101,                0.65487,                0.59385,                0.60924,                0.57775,                  0.296,                0.62066,                 0.8509,              0.0098317,              0.0098317,              0.0098317
                     20,                0.53967,                0.98297,                 1.0093,                0.65812,                0.59702,                0.61227,                0.58094,                0.29549,                0.61691,                0.85042,              0.0098218,              0.0098218,              0.0098218
                     21,                0.53927,                0.97801,                   1.01,                0.65323,                 0.5996,                0.61459,                0.58359,                 0.2949,                0.61313,                   0.85,              0.0098119,              0.0098119,              0.0098119
                     22,                 0.5378,                 0.9763,                 1.0098,                0.66775,                0.59471,                0.61696,                0.58605,                0.29472,                0.61038,                0.84973,               0.009802,               0.009802,               0.009802
                     23,                0.53859,                0.96785,                 1.0084,                0.67413,                0.59846,                0.61984,                0.58917,                0.29433,                0.60694,                0.84927,              0.0097921,              0.0097921,              0.0097921
                     24,                0.53597,                0.96161,                  1.008,                0.66976,                0.60108,                0.62212,                0.59122,                 0.2941,                0.60295,                0.84899,              0.0097822,              0.0097822,              0.0097822
                     25,                0.53886,                0.96188,                 1.0095,                0.68018,                0.59557,                0.62795,                0.59614,                0.29371,                0.59907,                0.84852,              0.0097723,              0.0097723,              0.0097723
                     26,                0.53606,                0.95489,                 1.0088,                0.68721,                0.59216,                0.62989,                0.59836,                0.29356,                 0.5958,                 0.8486,              0.0097624,              0.0097624,              0.0097624
                     27,                0.53696,                0.95447,                 1.0084,                0.68714,                0.59743,                0.63251,                0.60077,                0.29324,                0.59308,                0.84853,              0.0097525,              0.0097525,              0.0097525
                     28,                0.53762,                0.95498,                 1.0093,                0.67837,                0.61582,                0.63493,                 0.6032,                0.29289,                0.59044,                0.84828,              0.0097426,              0.0097426,              0.0097426
                     29,                0.53377,                0.94911,                 1.0076,                0.67823,                 0.6172,                0.63686,                0.60517,                0.29295,                0.58749,                0.84844,              0.0097327,              0.0097327,              0.0097327
                     30,                 0.5352,                 0.9473,                 1.0083,                0.68218,                0.61851,                0.64044,                0.60878,                0.29287,                0.58468,                0.84846,              0.0097228,              0.0097228,              0.0097228
                     31,                0.53402,                0.94444,                 1.0064,                0.67802,                0.62863,                0.64151,                0.60984,                0.29244,                0.58159,                0.84796,              0.0097129,              0.0097129,              0.0097129
                     32,                0.53288,                0.94235,                 1.0061,                0.67913,                0.62238,                0.64144,                0.60991,                0.29218,                0.57936,                0.84765,               0.009703,               0.009703,               0.009703
                     33,                0.53382,                0.94298,                 1.0073,                0.68979,                0.62841,                0.64297,                0.61134,                0.29175,                0.57701,                0.84726,              0.0096931,              0.0096931,              0.0096931
                     34,                0.53244,                0.93541,                 1.0068,                0.68949,                0.62087,                0.64709,                  0.615,                0.29166,                0.57514,                0.84705,              0.0096832,              0.0096832,              0.0096832
                     35,                0.53164,                 0.9365,                 1.0048,                0.69445,                0.62313,                0.64845,                0.61704,                0.29177,                0.57326,                0.84732,              0.0096733,              0.0096733,              0.0096733
                     36,                0.53187,                0.93363,                 1.0071,                0.69434,                 0.6206,                  0.648,                0.61598,                0.29177,                0.57152,                0.84732,              0.0096634,              0.0096634,              0.0096634
                     37,                0.53338,                0.93569,                  1.007,                0.69744,                0.62337,                0.65009,                0.61845,                0.29169,                0.56926,                0.84745,              0.0096535,              0.0096535,              0.0096535
